className,linesOfCode,avgEyeFixationDuration,timestamp
ch.unisg.project1.package1.Class1,28,2402,20240210114054555
ch.unisg.project1.package1.Class2,10,800,20240210114054555
ch.unisg.project1.package1.Class3,57,4120,20240210114054555
ch.unisg.project1.package1.Class4,120,8120,20240210114054555
ch.unisg.project1.package1.Class5,42,3011,20240210114054555
ch.unisg.project1.package2.Class1,31,2402,20240210114054555
ch.unisg.project1.package2.Class2,92,146,20240210114054555
ch.unisg.project1.package2.Class3,75,7323,20240210114054555
ch.unisg.project1.package2.Class4,123,416,20240210114054555
ch.unisg.project1.package2.Class5,39,822,20240210114054555
ch.unisg.project1.package2.Class6,227,1468,20240210114054555
ch.unisg.project1.package2.Class7,210,6817,20240210114054555
ch.unisg.project1.package1.Class1,28,2402,20240211142024666
ch.unisg.project1.package1.Class2,10,800,20240211142024666
ch.unisg.project1.package1.Class3,57,4120,20240211142024666
ch.unisg.project1.package1.Class4,120,8120,20240211142024666
ch.unisg.project1.package1.Class5,42,3011,20240211142024666
ch.unisg.project1.package1.Class6,209,1587,20240211142024666
ch.unisg.project1.package2.Class1,31,2402,20240211142024666
ch.unisg.project1.package2.Class2,310,146,20240211142024666
ch.unisg.project1.package2.Class3,75,7323,20240211142024666
ch.unisg.project1.package2.Class4,123,416,20240211142024666
ch.unisg.project1.package2.Class5,39,822,20240211142024666
ch.unisg.project1.package2.Class6,227,1468,20240211142024666
ch.unisg.project1.package2.Class7,210,6817,20240211142024666
ch.unisg.project1.package1.Class1,28,2402,20240212142024777
ch.unisg.project1.package1.Class2,10,800,20240212142024777
ch.unisg.project1.package1.Class3,57,4120,20240212142024777
ch.unisg.project1.package1.Class4,120,8120,20240212142024777
ch.unisg.project1.package1.Class5,42,3011,20240212142024777
ch.unisg.project1.package1.Class6,209,1587,20240212142024777
ch.unisg.project1.package2.Class1,31,2402,20240212142024777
ch.unisg.project1.package2.Class2,310,146,20240212142024777
ch.unisg.project1.package2.Class3,75,7323,20240212142024777
ch.unisg.project1.package2.Class4,123,416,20240212142024777
ch.unisg.project1.package2.Class5,39,822,20240212142024777
ch.unisg.project1.package2.Class6,227,1468,20240212142024777
ch.unisg.project1.package2.Class7,210,6817,20240212142024777
ch.unisg.project1.package2.Class8,172,1578,20240212142024777
ch.unisg.project1.package1.Class1,28,2202,20240213142024888
ch.unisg.project1.package1.Class2,10,600,20240213142024888
ch.unisg.project1.package1.Class3,57,3920,20240213142024888
ch.unisg.project1.package1.Class4,120,7920,20240213142024888
ch.unisg.project1.package1.Class5,42,2211,20240213142024888
ch.unisg.project1.package1.Class6,209,1387,20240213142024888
ch.unisg.project1.package2.Class1,31,2202,20240213142024888
ch.unisg.project1.package2.Class2,310,186,20240213142024888
ch.unisg.project1.package2.Class3,75,7123,20240213142024888
ch.unisg.project1.package2.Class4,123,396,20240213142024888
ch.unisg.project1.package2.Class5,39,622,20240213142024888
ch.unisg.project1.package2.Class6,227,1268,20240213142024888
ch.unisg.project1.package2.Class7,210,6617,20240213142024888
ch.unisg.project1.package2.Class8,172,1378,20240213142024888